alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,3,5,7,40,20,constant,pam,0,1,1.0,4,0,0,1,0,mixture/0.1/3/5/7
0.1,3,5,7,100,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,100,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,100,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,100,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/7
0.1,3,5,8,40,20,constant,single,0,1,1.0,6,0,0,,,mixture/0.1/3/5/8
0.1,3,5,8,40,20,constant,complete,0,0,0.8156458459672529,6,0,0,,,mixture/0.1/3/5/8
0.1,3,5,8,40,20,constant,average,0,0,0.6689510976884656,6,0,0,,,mixture/0.1/3/5/8
0.1,3,5,8,40,20,constant,pam,0,0,0.8201821838400568,6,0,0,1,0,mixture/0.1/3/5/8
0.1,3,5,8,100,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,100,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,100,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,100,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/8
0.1,3,5,9,40,20,constant,single,0,0,0.6709386906823693,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,40,20,constant,complete,0,0,0.4699818071558521,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,40,20,constant,average,0,0,0.6709386906823693,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,40,20,constant,pam,0,1,1.0,3,1,1,0,1,mixture/0.1/3/5/9
0.1,3,5,9,100,20,constant,single,0,0,0.6709386906823693,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,100,20,constant,complete,0,0,0.6709386906823693,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,100,20,constant,average,0,0,0.6709386906823693,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,100,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/9
0.2,2,5,0,40,20,constant,single,0,0,-0.015549076773566544,6,0,0,,,mixture/0.2/2/5/0
0.2,2,5,0,40,20,constant,complete,0,0,0.21435659940456497,6,0,0,,,mixture/0.2/2/5/0
0.2,2,5,0,40,20,constant,average,0,0,0.6203796203796204,6,0,0,,,mixture/0.2/2/5/0
0.2,2,5,0,40,20,constant,pam,0,0,0.4629198536747589,6,0,0,1,0,mixture/0.2/2/5/0
0.2,2,5,0,100,20,constant,single,0,1,1.0,3,0,0,,,mixture/0.2/2/5/0
0.2,2,5,0,100,20,constant,complete,0,1,1.0,3,0,0,,,mixture/0.2/2/5/0
0.2,2,5,0,100,20,constant,average,0,1,1.0,3,0,0,,,mixture/0.2/2/5/0
0.2,2,5,0,100,20,constant,pam,0,1,1.0,3,0,0,1,0,mixture/0.2/2/5/0
0.2,2,5,1,40,20,constant,single,0,1,1.0,6,0,0,,,mixture/0.2/2/5/1
0.2,2,5,1,40,20,constant,complete,0,0,-0.06814310051107336,6,0,0,,,mixture/0.2/2/5/1
0.2,2,5,1,40,20,constant,average,0,0,-0.06814310051107336,6,0,0,,,mixture/0.2/2/5/1
0.2,2,5,1,40,20,constant,pam,0,0,0.7990201536577218,6,0,0,1,0,mixture/0.2/2/5/1
0.2,2,5,1,100,20,constant,single,0,1,1.0,5,0,0,,,mixture/0.2/2/5/1
0.2,2,5,1,100,20,constant,complete,0,0,-0.06814310051107336,5,0,0,,,mixture/0.2/2/5/1
0.2,2,5,1,100,20,constant,average,0,1,1.0,5,0,0,,,mixture/0.2/2/5/1
0.2,2,5,1,100,20,constant,pam,0,1,1.0,5,0,0,1,0,mixture/0.2/2/5/1
0.2,2,5,2,40,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/2
0.2,2,5,2,40,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/2
0.2,2,5,2,40,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/2
