alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,ari,mixture_key
1,4,5,0,9,200,800,constant,single,0.3093275425211423,mixture/1/4/5/0
1,4,5,0,9,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,200,800,constant,pam,0.9798596966286699,mixture/1/4/5/0
1,4,5,0,9,250,800,constant,single,0.3093275425211423,mixture/1/4/5/0
1,4,5,0,9,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,250,800,constant,pam,0.9871120902324325,mixture/1/4/5/0
1,4,5,0,9,300,800,constant,single,0.3093275425211423,mixture/1/4/5/0
1,4,5,0,9,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,300,800,constant,pam,0.9967536114929404,mixture/1/4/5/0
1,4,5,0,9,350,800,constant,single,0.7244670356554929,mixture/1/4/5/0
1,4,5,0,9,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,350,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,9,400,800,constant,single,0.7244670356554929,mixture/1/4/5/0
1,4,5,0,9,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,9,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,9,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,9,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,9,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,10,50,800,constant,single,0.00023025375731816462,mixture/1/4/5/0
1,4,5,0,10,50,800,constant,average,0.652511422615389,mixture/1/4/5/0
1,4,5,0,10,50,800,constant,pam,0.7378600875728172,mixture/1/4/5/0
1,4,5,0,10,100,800,constant,single,0.0002889837905812751,mixture/1/4/5/0
1,4,5,0,10,100,800,constant,average,0.6871868957802225,mixture/1/4/5/0
1,4,5,0,10,100,800,constant,pam,0.8907492056370708,mixture/1/4/5/0
1,4,5,0,10,150,800,constant,single,0.0002889837905812751,mixture/1/4/5/0
1,4,5,0,10,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,150,800,constant,pam,0.9435035791127572,mixture/1/4/5/0
1,4,5,0,10,200,800,constant,single,0.31967055345852735,mixture/1/4/5/0
1,4,5,0,10,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,200,800,constant,pam,0.9661142588616551,mixture/1/4/5/0
1,4,5,0,10,250,800,constant,single,0.31967055345852735,mixture/1/4/5/0
1,4,5,0,10,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,250,800,constant,pam,0.9863396824773802,mixture/1/4/5/0
1,4,5,0,10,300,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,10,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,300,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,10,350,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,10,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,10,350,800,constant,pam,1.0,mixture/1/4/5/0
