alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
3.0,4,3125,0,2,1000,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,1000,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,1000,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,1000,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,100,200,constant-mc,single,0,-0.0033171621139301004,5,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,100,200,constant-mc,complete,0,0.7205477132442157,5,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,100,200,constant-mc,average,0,0.8135019117462303,5,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,100,200,constant-mc,pam,0,0.4865696597290199,5,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,200,200,constant-mc,single,0,-0.0017555789822352673,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,200,200,constant-mc,complete,0,0.9073172126923517,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,200,200,constant-mc,average,0,0.9435992505748059,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,200,200,constant-mc,pam,0,0.812834166954258,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,300,200,constant-mc,single,0,0.40775694854228534,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,300,200,constant-mc,complete,0,0.98449799194466,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,300,200,constant-mc,average,0,0.98449799194466,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,300,200,constant-mc,pam,0,0.7620020313472788,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,400,200,constant-mc,single,0,0.5988416364315319,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,400,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,400,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,400,200,constant-mc,pam,0,0.8939590538637477,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,500,200,constant-mc,single,0,0.6001216937725423,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,500,200,constant-mc,complete,0,0.9845168274464922,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,3,500,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
