alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,mixture_key
3.0,4,3125,0,200,800,constant-mc,average,7,0,0.9500905065635856,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,7,0,0.7604759526976006,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,7,0,0.0005083300971955609,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,7,0,0.9755007055862487,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,7,0,0.8340865443570074,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,7,0,0.0006737576769190979,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,7,0,0.9935258826717757,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,7,0,0.9168334188496802,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,7,0,0.3914862836971021,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,7,0,0.9960786344951699,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,7,0,0.9311427127221744,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,7,0,0.5940042476821127,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,7,0,0.9882862482634299,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,7,0,0.9518427576058226,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,7,0,0.5942603035308224,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,7,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,7,0,0.9627739894186275,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,7,0,0.5942603035308224,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,7,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,7,0,0.9807008014930725,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,7,0,0.5942603035308224,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,7,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,7,0,0.976842157539156,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,8,0,0.000965680501134846,hmm-mixture/4/4/5/0
