alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,2,19,1000,constant,0,0,0.1243333333333333,0.002075505066388,0.1192189683038981,0.1294476983627685,60,0.95,mixture/0.1/2/5/19
0.1,2,19,1000,constant,0,1,1.8544999999999996,0.0025269731340754,1.8482731479259984,1.860726852074,60,0.95,mixture/0.1/2/5/19
0.1,2,19,1000,constant,1,1,0.3930000000000001,0.0016824115057191,0.3888542782143417,0.3971457217856585,60,0.95,mixture/0.1/2/5/19
0.1,3,0,400,constant,0,0,0.2355833333333333,0.0028771741144954,0.2277282692018216,0.243438397464845,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,0,1,1.5018333333333336,0.003821524429363,1.4914000685122888,1.5122665981543784,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,0,2,1.8300833333333324,0.0036928157207298,1.8200014602322063,1.8401652064344585,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,1,1,0.3871666666666667,0.0028925353634182,0.3792696643031858,0.3950636690301475,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,1,2,0.9801666666666669,0.0028694934164488,0.9723325718520366,0.9880007614812968,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,2,2,0.5025,0.0033031828513045,0.4934818759301406,0.5115181240698592,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,0,0,0.2226666666666667,0.0015970783117023,0.2183064326098312,0.2270269007235021,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,0,1,1.503266666666666,0.0027804672479209,1.495675625012999,1.5108577083203327,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,0,2,1.834133333333333,0.0024498895013323,1.8274448124505929,1.8408218542160733,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,1,1,0.3720666666666667,0.0015130070082971,0.3679359583366687,0.3761973749966647,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,1,2,0.9733999999999996,0.0019751564337674,0.9680075628934492,0.97879243710655,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,2,2,0.4868333333333332,0.0019364430474668,0.4815465888682558,0.4921200777984105,60,0.95,mixture/0.1/3/5/0
0.1,3,1,400,constant,0,0,0.1859166666666666,0.0038206465322861,0.1754857986202227,0.1963475347131106,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,0,1,1.3856666666666662,0.0064729627454768,1.3679946261632974,1.403338707170035,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,0,2,1.874833333333333,0.0031888902012504,1.866127243245502,1.8835394234211635,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,1,1,0.3989166666666666,0.0019639824159905,0.3935547360997802,0.4042785972335529,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,1,2,1.593916666666667,0.0051091084977894,1.5799681278198876,1.6078652055134466,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,2,2,0.1145,0.002489242391495,0.107704040546048,0.121295959453952,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,0,0,0.1695,0.0023786360807235,0.1630060103365041,0.1759939896634958,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,0,1,1.3864000000000003,0.0031682749409883,1.37775019228682,1.3950498077131803,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,0,2,1.878666666666667,0.0017599863036618,1.873861672343871,1.8834716609894628,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,1,1,0.3888333333333333,0.0012471813795903,0.3854283639674012,0.3922383026992655,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,1,2,1.5911999999999995,0.0029489823965465,1.5831488898044546,1.5992511101955444,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,2,2,0.1082666666666666,0.0014885374968312,0.104202763324543,0.1123305700087902,60,0.95,mixture/0.1/3/5/1
0.1,3,2,400,constant,0,0,0.426,0.0081630627352935,0.4037137640116263,0.4482862359883737,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,0,1,1.578833333333333,0.0070854018249295,1.5594892535114162,1.59817741315525,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,0,2,1.788416666666667,0.0049837187841029,1.774810458246634,1.8020228750867,60,0.95,mixture/0.1/3/5/2
