alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,3,5,3,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/3
0.1,3,5,3,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/3
0.1,3,5,3,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/3
0.1,3,5,3,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/3
0.1,3,5,3,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/3
0.1,3,5,3,1000,200,constant,pam,0,1,1.0,3,1,1,0,1,mixture/0.1/3/5/3
0.1,3,5,4,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/4
0.1,3,5,4,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/4
0.1,3,5,5,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/5
0.1,3,5,5,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/5
0.1,3,5,5,400,200,constant,average,0,0,0.9843121124265424,3,1,0,,,mixture/0.1/3/5/5
0.1,3,5,5,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/5
0.1,3,5,5,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/5
0.1,3,5,5,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/5
0.1,3,5,5,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/5
0.1,3,5,5,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/5
0.1,3,5,6,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/6
0.1,3,5,6,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/6
0.1,3,5,7,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/7
0.1,3,5,7,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/7
0.1,3,5,7,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/7
0.1,3,5,8,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/8
0.1,3,5,8,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/8
0.1,3,5,8,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/8
0.1,3,5,9,400,200,constant,single,0,0,0.5436488258097939,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,400,200,constant,complete,0,0,0.5304739909283819,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,400,200,constant,average,0,0,0.5369624037483638,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/9
0.1,3,5,9,1000,200,constant,single,0,0,0.5436488258097939,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,1000,200,constant,complete,0,0,0.443599195542372,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,1000,200,constant,average,0,0,0.5304739909283819,3,1,0,,,mixture/0.1/3/5/9
0.1,3,5,9,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/9
0.1,3,5,10,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/10
