alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,3,0,1000,constant,0,0,0.2226666666666667,0.0015970783117023352,0.21830643260983124,0.22702690072350218,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,0,1,1.5032666666666659,0.0027804672479209034,1.495675625012999,1.5108577083203327,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,0,2,1.834133333333333,0.002449889501332303,1.8274448124505926,1.8408218542160733,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,1,1,0.3720666666666667,0.0015130070082971568,0.3679359583366687,0.3761973749966647,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,1,2,0.9733999999999996,0.0019751564337674907,0.9680075628934491,0.9787924371065501,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,2,2,0.4868333333333332,0.001936443047466892,0.4815465888682558,0.49212007779841055,60,0.95,mixture/0.1/3/5/0
0.1,3,1,400,constant,0,0,0.18591666666666667,0.0038206465322861813,0.1754857986202227,0.19634753471311064,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,0,1,1.3856666666666662,0.006472962745476868,1.3679946261632974,1.403338707170035,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,0,2,1.8748333333333327,0.0031888902012504076,1.866127243245502,1.8835394234211633,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,1,1,0.3989166666666666,0.0019639824159905675,0.3935547360997802,0.40427859723355297,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,1,2,1.593916666666667,0.005109108497789468,1.5799681278198876,1.6078652055134466,60,0.95,mixture/0.1/3/5/1
0.1,3,1,400,constant,2,2,0.11450000000000003,0.0024892423914950144,0.10770404054604805,0.12129595945395201,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,0,0,0.1695,0.002378636080723525,0.16300601033650416,0.17599398966349586,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,0,1,1.3864000000000003,0.0031682749409883727,1.37775019228682,1.3950498077131805,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,0,2,1.878666666666667,0.0017599863036618154,1.873861672343871,1.8834716609894628,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,1,1,0.38883333333333336,0.0012471813795903901,0.3854283639674012,0.3922383026992655,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,1,2,1.5911999999999995,0.0029489823965465167,1.5831488898044546,1.5992511101955444,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,2,2,0.10826666666666665,0.0014885374968312665,0.10420276332454301,0.11233057000879029,60,0.95,mixture/0.1/3/5/1
0.1,3,2,400,constant,0,0,0.426,0.008163062735293596,0.4037137640116263,0.4482862359883737,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,0,1,1.578833333333333,0.007085401824929592,1.5594892535114162,1.59817741315525,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,0,2,1.788416666666667,0.004983718784102965,1.774810458246634,1.8020228750867,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,1,1,0.46041666666666664,0.008303300401153091,0.4377475633872833,0.48308576994604996,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,1,2,1.8655833333333331,0.0067429516105223224,1.8471741876825765,1.8839924789840898,60,0.95,mixture/0.1/3/5/2
0.1,3,2,400,constant,2,2,0.12966666666666668,0.008297833992327062,0.1070124874030672,0.15232084593026618,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,0,0,0.3993333333333335,0.004507286421464961,0.38702784798876355,0.4116388186779034,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,0,1,1.5879999999999999,0.005319402710618937,1.5734773302655765,1.6025226697344233,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,0,2,1.785666666666667,0.0034244605882022758,1.7763174384080633,1.7950158949252706,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,1,1,0.4261666666666667,0.0057210665645956995,0.4105474017291924,0.441785931604141,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,1,2,1.862766666666666,0.003806355573186659,1.8523748148200627,1.8731585185132693,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,2,2,0.1152,0.004988619817506222,0.10158041111352273,0.12881958888647727,60,0.95,mixture/0.1/3/5/2
